Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Ian Mahinmi,Wizards,2016-2017,REG,31,0.584,0.75,0,0,0,91.82,7.27,0.91,0,0,2.68,2.23,3.33
Gerald Green,Celtics,2016-2017,REG,47,0.538,0.405,0.423,0.365,0,22.91,18.5,11.45,45.81,1.32,16.86,14.65,18.43
Delon Wright,Raptors,2016-2017,REG,27,0.515,0.385,0,0.333,0,57.39,11.3,5.22,26.09,0,9.94,7.24,11.94
Terry Rozier,Celtics,2016-2017,REG,74,0.407,0.378,0.395,0.324,0,34.57,11.11,10.62,42.72,0.99,15.21,13.61,16.12
Anthony Morrow,"Thunder, Bulls",2016-2017,REG,49,0.537,0.442,0.5,0.306,0,16.33,20.72,9.56,53.39,0,17.52,15.74,18.65
Jerami Grant,"76ers, Thunder",2016-2017,REG,80,0.596,0.19,0.31,0.368,0,49.09,6.4,8.84,35.67,0,11.63,8.72,14.14
Paul Zipser,Bulls,2016-2017,REG,44,0.552,0.286,0.341,0.34,0,30.32,6.33,18.55,43.89,0.9,16.07,13.4,17.83
Meyers Leonard,Trail Blazers,2016-2017,REG,74,0.531,0.357,0.383,0.349,0,16.89,11.08,15.83,55.94,0.26,18.4,16.75,19.43
Malcolm Delaney,Hawks,2016-2017,REG,73,0.406,0.265,0.471,0.223,0,17.02,9.04,45.74,27.39,0.8,17.09,16.19,17.62
Joffrey Lauvergne,"Thunder, Bulls",2016-2017,REG,70,0.529,0.409,0.231,0.34,0,56.42,6.57,7.76,28.96,0.3,10.49,7.83,12.59
Alexis Ajinca,Pelicans,2016-2017,REG,39,0.585,0.531,0.354,0,0,52.81,17.98,26.97,2.25,0,8.54,6.46,10.62
Chasson Randle,"76ers, Knicks",2016-2017,REG,26,0.5,0.4,0,0.34,0,44.9,5.1,2.04,47.96,0,13.96,12.03,15.29
Willie Reed,Heat,2016-2017,REG,71,0.634,0.333,0.273,0.2,0,79.65,14.74,3.86,1.75,0,4.03,2.47,6.08
"Derrick Jones, Jr.",Suns,2016-2017,REG,32,0.67,0.364,0.2,0.273,0,73.33,9.17,8.33,9.17,0,5.48,2.74,9.08
Mike Dunleavy,"Cavaliers, Hawks",2016-2017,REG,53,0.566,0.333,0.296,0.392,0,24.54,2.78,12.5,60.19,0,17.75,15.86,19.13
Omri Casspi,"Kings, Pelicans, Timberwolves",2016-2017,REG,36,0.554,0,0,0.349,0,67.88,5.45,0.61,26.06,0,8.61,6.34,10.6
Randy Foye,Nets,2016-2017,REG,69,0.471,0.3,0.28,0.335,0,26.85,3.09,7.72,60.8,1.54,18.14,15.92,19.39
Cameron Payne,"Thunder, Bulls",2016-2017,REG,31,0.378,0.4,0.222,0.318,0,23.32,18.13,13.99,44.04,0.52,16.6,15.81,16.98
Hollis Thompson,"76ers, Pelicans",2016-2017,REG,40,0.493,0.412,0.211,0.337,0,34.5,8.5,9.5,47.5,0,15.11,12.79,16.55
Shaun Livingston,Warriors,2016-2017,REG,76,0.75,0.492,0.364,1,0,28.03,60.83,10.51,0.32,0.32,10.03,8.33,12.11
Cheick Diallo,Pelicans,2016-2017,REG,17,0.71,0.292,0.35,0,0,40.79,31.58,26.32,1.32,0,9.87,6.92,12.53
Luis Scola,Nets,2016-2017,REG,36,0.58,0.467,0,0.34,0,53.29,9.87,3.95,32.89,0,11.06,7.85,13.88
Denzel Valentine,Bulls,2016-2017,REG,57,0.357,0.444,0.3,0.353,0,14.58,6.25,6.94,71.88,0.35,20.22,19.59,20.56
Dewayne Dedmon,Spurs,2016-2017,REG,76,0.648,0.389,0.455,0,0,88.8,6.95,4.25,0,0,2.82,1.98,4.21
Wayne Selden,"Pelicans, Grizzlies",2016-2017,REG,14,0.696,0.25,0.333,0.25,0,39.66,6.9,5.17,48.28,0,14.62,9.04,18.85
Joakim Noah,Knicks,2016-2017,REG,46,0.505,0.5,0,0,0,97,1,1.5,0.5,0,1.62,1,2.23
Thomas Robinson,Lakers,2016-2017,REG,48,0.597,0.296,0.222,0,0,81.12,13.78,4.59,0.51,0,3.85,2.26,5.68
Anthony Bennett,Nets,2016-2017,REG,23,0.61,0,0,0.271,0,44.57,2.17,1.09,52.17,0,13.5,8.95,16.7
Trey Burke,Wizards,2016-2017,REG,57,0.5,0.472,0.43,0.443,0,20.47,20.87,31.1,27.56,0,15.69,15.13,16.17
Aaron Brooks,Pacers,2016-2017,REG,65,0.408,0.538,0.343,0.4,0,32.78,13.04,11.71,40.13,2.34,16.08,14.8,16.94
Juan Hernangomez,Nuggets,2016-2017,REG,62,0.545,0,0.143,0.414,0,44.39,2.69,3.14,49.78,0,13.76,11.93,15.28
Mario Hezonja,Magic,2016-2017,REG,65,0.477,0.333,0.325,0.307,0,26.67,5.45,24.24,42.42,1.21,17.02,14.56,18.37
Toney Douglas,Grizzlies,2016-2017,REG,24,0.563,0.35,0.478,0.179,0,27.35,17.09,19.66,33.33,2.56,15.73,11.51,18.18
Tiago Splitter,76ers,2016-2017,REG,8,0.458,1,0,0.333,0,77.42,3.23,0,19.35,0,6.39,5.14,7.41
Aron Baynes,Pistons,2016-2017,REG,75,0.54,0.449,0.429,0,0,72.4,17.56,10.04,0,0,5.18,4.53,5.87
Josh McRoberts,Heat,2016-2017,REG,22,0.426,0.19,0.389,0.419,0,40.17,17.95,15.38,26.5,0,12.37,11.66,12.79
Jarell Eddie,Suns,2016-2017,REG,5,1,0,0,0.25,0,10.53,5.26,0,84.21,0,21.42,16.5,23.69
Cristiano Felicio,Bulls,2016-2017,REG,66,0.632,0.333,0.286,0,0,83.33,4.05,12.61,0,0,3.77,2.27,5.82
Luke Babbitt,Heat,2016-2017,REG,68,0.211,0.4,0.455,0.414,0,6.76,10.68,7.83,74.73,0,21.18,21.69,20.84
Kevin Seraphin,Pacers,2016-2017,REG,49,0.612,0.481,0.513,0,0,52.02,27.27,19.7,1.01,0,8.44,7.19,9.98
David West,Warriors,2016-2017,REG,68,0.625,0.361,0.51,0.429,0,44.44,14.29,38.1,2.78,0.4,10.59,9.39,11.97
Isaiah Canaan,Bulls,2016-2017,REG,39,0.578,0.357,0.35,0.266,0,26.01,8.09,11.56,54.34,0,17.08,13.76,18.97
Boris Diaw,Jazz,2016-2017,REG,73,0.615,0.405,0.25,0.247,0,49.24,11.31,14.68,24.77,0,11.04,7.15,14.18
Roy Hibbert,"Hornets, Bucks, Nuggets",2016-2017,REG,48,0.611,0.452,0.423,0,0,61.22,21.09,17.69,0,0,6.83,5.61,8.28
Kris Humphries,Hawks,2016-2017,REG,56,0.453,0.324,0.429,0.352,0,44.39,17.29,13.08,25.23,0,11.44,10.07,12.37
Reggie Bullock,Pistons,2016-2017,REG,31,0.556,0.333,0.308,0.384,0,28.13,4.69,10.16,57.03,0,16.92,14.94,18.36
CJ Watson,Magic,2016-2017,REG,62,0.509,0.4,0.41,0.308,0,22.98,10.08,24.6,41.94,0.4,16.61,14.69,17.82
